Org1,Org2,Edu1,Edu2,Edu3,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Software Engineering,Software Engineering,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software organization & Operating Systems,Software organization & Operating Systems
Software Engineering,Other,Computer Science,Other,Other,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Software organization & Operating Systems
Other,Other,Information Technology,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Management,Management,Management,Other,Other,Software Engineering,Software Engineering,Management,Cloud Computing,Software Engineering,Software Engineering,Human computer interaction,Concurrent computing
Other,Software Engineering,Computer Science,Software Engineering,Other,Management,Marketing,Other,Data Sience,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Computer Hardware,Software Engineering,Other,Software Engineering,Software Engineering,Computer Hardware,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Other
Other,Computer Science,Computer Science,Information Technology,Mathematics of computing,Software Engineering,Software Engineering,"Multimedia, Animation and Graphic Design",Software Engineering,Other,Other,Other,Other
Software Engineering,Other,Communication and Networks,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Other,Other,Computer Hardware,Other,Other,Artificial Intelligence,Artificial Intelligence,Management,Artificial Intelligence,Other,Software Engineering,Data Sience,Other
Business System Analysis,Software Engineering,Information Technology,Information Technology,Computer Science,Management,Information System,Management,Software Engineering,Management,Software Engineering,Database,Database
Computer Science,Software Engineering,Other,Other,Other,Software Engineering,Software Engineering,Data Structures and Algorithms,Software Engineering,Software Engineering,Database,Software Engineering,Software Engineering
Software Engineering,Communication and Networks,Computer Science,Computer Science,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Software organization & Operating Systems,Software Engineering
Software Engineering,Other,Computer Science,Other,Other,Artificial Intelligence,Artificial Intelligence,Management,Software Engineering,Data Structures and Algorithms,Concurrent computing,Database,Software Engineering
Other,Other,Information Technology,Other,Other,Management,Other,Other,Other,Other,Other,Other,Other
Other,Other,Computer Science,Mathematics of computing,Other,Software Engineering,Other,Software Engineering,Database,Software Engineering,Computer Hardware,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Computer Science,Other,Other,Software Engineering,Database,Software Engineering,Data Structures and Algorithms,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Computer Hardware,Business System Analysis,Mathematics of computing,Computer Hardware,Big Data,Software Engineering,Data Structures and Algorithms,Data Sience,"Multimedia, Animation and Graphic Design",Computer Hardware,Computer Hardware
Other,System/Infrastructure integration &  Administration,Other,Other,Other,Software organization & Operating Systems,Cyber & Information Security,Other,Other,Communication and Networks,Software Engineering,Software Engineering,Communication and Networks
Other,Other,Computer Hardware,Other,Other,Software Engineering,Software Engineering,Software Engineering,Other,Other,Other,Other,Other
E-Governance,Other,E-Governance,Other,Other,Other,Other,Other,Other,Marketing,Other,Other,Other
Software Engineering,Software Engineering,Computer Hardware,Other,Other,Other,Other,Computer Science,Software Engineering,Software Engineering,Software Engineering,Other,Other
Other,Other,Software Engineering,Other,Other,Software Engineering,Other,Other,Other,Other,Other,Other,Other
Management,Software Engineering,Management,Information Technology,Other,Other,Database,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Information Technology,Computer Science,Information Technology,Data Sience,Software Engineering,Database,Business System Analysis,Management,Database,Business System Analysis,Cyber & Information Security
Other,Other,Computer Science,Computer Science,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Artificial Intelligence,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Bio-informatics,Information Technology,Information Technology,Software Engineering,Other,Other,Database,Software Engineering,Database,Software organization & Operating Systems,Software Engineering
Software Engineering,Software Engineering,Information Technology,Information System,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Other,Software Engineering
Software Engineering,Other,Other,Mathematics of computing,Other,Software Engineering,Database,Management,Software Engineering,Management,Database,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Computer Science,Other,Other,Other,Software Engineering,Data Structures and Algorithms,Data Structures and Algorithms,Software Engineering,Data Structures and Algorithms,Software Engineering,Software Engineering
Other,Other,Computer Science,Mathematics of computing,Mathematics of computing,Software Engineering,Software Engineering,Business System Analysis,Communication and Networks,Data Sience,Business System Analysis,Database,Software Engineering
Software Engineering,Software Engineering,Computer Science,Computer Science,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Other,Software Engineering,Software Engineering,Software Engineering
Other,Other,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,"Multimedia, Animation and Graphic Design",Other,Other,Other,Other
Software Engineering,Other,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Artificial Intelligence,Software Engineering,Software Engineering,Software Engineering
Software Engineering,Other,Artificial Intelligence,Mathematics of computing,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Artificial Intelligence,Software Engineering,Software organization & Operating Systems,Computer Hardware
Software Engineering,Other,Computer Science,Other,Other,Software Engineering,Database,Software Engineering,Database,Software Engineering,Database,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Other,Other,Other,Software Engineering,Database,Business System Analysis,Management,Database,Software Engineering,Software Engineering,Database
Software Engineering,Software Engineering,Computer Science,Other,Other,Software Engineering,Artificial Intelligence,Other,Database,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Information Technology,Other,Other,Management,Communication and Networks,Marketing,Other,Other,Other,Other,Other
Software Engineering,Other,Information Technology,Other,Other,Other,Other,Other,"Multimedia, Animation and Graphic Design",Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Other,Other,Other,Software Engineering,Software Engineering,Database,Software Engineering,Software Engineering,Other,Other,Other
Software Engineering,Other,Computer Science,Information Technology,Marketing,Database,Database,Marketing,Marketing,Marketing,Software Engineering,Management,Software Engineering
Management,Software Engineering,Other,Software Engineering,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database
Other,Other,Other,Theory of computation,Other,Management,Other,Other,Other,Other,Other,Other,Other
Communication and Networks,Communication and Networks,Communication and Networks,Computer Hardware,Other,Communication and Networks,Communication and Networks,Software organization & Operating Systems,Communication and Networks,Software Engineering,Communication and Networks,Software organization & Operating Systems,Software Engineering
Software Engineering,Big Data,Artificial Intelligence,Information Technology,Other,Big Data,Artificial Intelligence,"Multimedia, Animation and Graphic Design",Software Engineering,Database,Other,Other,Other
Other,Software Engineering,Computer Science,Other,Other,Software Engineering,Software Engineering,Data Structures and Algorithms,Data Sience,Database,Software Engineering,Software organization & Operating Systems,Software Engineering
Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Other,Other,Communication and Networks,Other,Other,Software organization & Operating Systems,Cyber & Information Security,Other,Other,Other,Other,Other,Other
Other,Big Data,Information Technology,Other,Other,Other,Software Engineering,Other,Other,Other,Other,Other,Other
Computer Science,Software Engineering,Other,Other,Other,Computer Hardware,Software Engineering,Software Engineering,Data Structures and Algorithms,Communication and Networks,Mathematics of computing,Software Engineering,Artificial Intelligence
Other,Management,System/Infrastructure integration &  Administration,Other,Management,Management,Management,Applied computing,Management,Business System Analysis,Marketing,Management,Business System Analysis
Management,Management,Computer Science,Mathematics of computing,Mathematics of computing,Software Engineering,Software Engineering,Data Sience,Management,Business System Analysis,Software Engineering,Computer Science,Mathematics of computing
Other,Other,Other,Other,Other,Quality Assurance,Cloud Computing,Software Engineering,Other,Other,Other,Other,Other
Other,GIS,GIS,GIS,Information Technology,GIS,Business System Analysis,Other,Other,Other,Other,Other,Other
Information Technology,Quality Assurance,Information Technology,Computer Science,Other,Quality Assurance,Quality Assurance,Software Engineering,Quality Assurance,Quality Assurance,Management,Quality Assurance,Business System Analysis
Other,Other,Other,Other,Other,Other,Other,Other,Software Engineering,Other,Other,Other,Other
Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Software Engineering,Marketing,Other,Other,Software Engineering,Software Engineering,Software Engineering,Other,"Multimedia, Animation and Graphic Design",Marketing,Other,Software Engineering,Other
Other,Other,Computer Science,Other,Other,Other,Management,Management,Other,Other,Other,Other,Other
Software Engineering,Other,Other,Other,Other,Software organization & Operating Systems,Software organization & Operating Systems,Other,Other,Other,Other,Other,Other
Other,Other,Other,Other,Other,Software Engineering,Other,Other,Other,Other,Other,Other,Other
Other,Other,Other,Other,Other,Other,Mathematics of computing,Other,Software Engineering,Other,Other,Software Engineering,Software Engineering
Other,Other,Information Technology,Management,Computer Science,Management,Software Engineering,Data Sience,Management,Marketing,Management,Marketing,Marketing
Software Engineering,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Information System,Software Engineering,Information Technology,Information System,Other,Software Engineering,Software Engineering,Software Engineering,Big Data,Software Engineering,Software Engineering,Management,Software Engineering
Software Engineering,Software Engineering,Computer Science,Bio-informatics,Other,Software Engineering,Software Engineering,Software Engineering,Other,Software Engineering,Database,Software Engineering,Other
System/Infrastructure integration &  Administration,Other,Software Engineering,Other,Other,Other,Other,Other,Other,Other,Marketing,Other,Communication and Networks
Data Sience,Artificial Intelligence,Communication and Networks,Mathematics of computing,Other,Other,Other,Software Engineering,Other,Big Data,Software Engineering,Software Engineering,Software Engineering
Other,Other,Other,Computer Hardware,Other,Other,Other,Software Engineering,Other,Software Engineering,Software Engineering,Other,Other
Management,Management,Information Technology,Information Technology,Other,Other,Other,Other,Other,Other,Other,Other,Other
Software Engineering,Cyber & Information Security,Information Technology,Computer Science,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Business System Analysis,Database,Business System Analysis,Software Engineering
Management,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Software Engineering,Software Engineering,Mathematics of computing,Computer Science,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Other,Other,Other,Other
Other,Other,Information Technology,Information Technology,Other,Other,Other,Other,Information Technology,Other,Other,Other,Other
Other,Other,Computer Hardware,Computer Hardware,Other,Management,Other,Other,Other,Other,Other,Other,Other
Software Engineering,Other,Information Technology,Other,Other,Other,Management,Software organization & Operating Systems,Communication and Networks,Database,Other,Communication and Networks,Other
Management,Other,Communication and Networks,Management,Other,Management,Other,Other,Other,Other,Other,Other,Other
Artificial Intelligence,Artificial Intelligence,Mathematics of computing,Other,Mathematics of computing,Software Engineering,Data Sience,Other,"Multimedia, Animation and Graphic Design",Communication and Networks,Other,Software Engineering,Software Engineering
Information System,Other,Other,Other,Other,Marketing,Other,Management,Other,Other,Other,Other,Other
Other,Communication and Networks,Information System,Other,Other,Other,Communication and Networks,Other,Other,Other,Communication and Networks,Other,Other
Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Other,Software Engineering,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Quality Assurance,Other,Information System,Software Engineering,Other,Management,Other,Other,Other,Other,Other,Management,Communication and Networks
Other,Artificial Intelligence,Computer Hardware,Other,Other,Other,Artificial Intelligence,Software Engineering,Artificial Intelligence,Other,Other,Other,Other
Other,Software Engineering,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Information Technology,Software Engineering,Other,Other,Other,Other,Other,Other,Other,Management,Other,Other,Other
Other,Other,Big Data,Computer Hardware,Other,Software Engineering,Software Engineering,Artificial Intelligence,Artificial Intelligence,Software Engineering,Other,Software Engineering,Software Engineering
Other,Data Sience,Data Sience,Computer Science,Other,Artificial Intelligence,Artificial Intelligence,Data Structures and Algorithms,Database,Software Engineering,Software Engineering,Other,Software Engineering
Other,Bio-informatics,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
